estado,codigo_iso,regiao,poblacion_ibge2021,total_postos_acumulado,precio_medio_revenda
ACRE,BR-AC,NORTE,906876,166498,14.314
ALAGOAS,BR-AL,NORDESTE,3365351,263679,10.130
AMAPA,BR-AP,NORTE,877613,80007,14.262
AMAZONAS,BR-AM,NORTE,4269995,370566,11.070
BAHIA,BR-BA,NORDESTE,14985284,1297308,9.899
CEARA,BR-CE,NORDESTE,9240580,793784,10.863
DISTRITO FEDERAL,BR-DF,CENTRO OESTE,3094325,280785,12.747
ESPIRITO SANTO,BR-ES,SUDESTE,4108508,589926,10.059
GOIAS,BR-GO,CENTRO OESTE,7206589,1027826,11.968
MARANHAO,BR-MA,NORDESTE,7153262,407182,12.571
MATO GROSSO,BR-MT,CENTRO OESTE,3567234,504607,13.599
MATO GROSSO DO SUL,BR-MS,CENTRO OESTE,2839188,471049,11.492
MINAS GERAIS,BR-MG,SUDESTE,21411923,3061073,10.760
PARA,BR-PA,NORTE,8777124,518395,13.023
PARAIBA,BR-PB,NORDESTE,4059905,367892,10.046
PARANA,BR-PR,SUL,11597484,1863723,10.395
PERNAMBUCO,BR-PE,NORDESTE,9674793,963683,9.867
PIAUI,BR-PI,NORDESTE,3289290,272968,12.370
RIO DE JANEIRO,BR-RJ,SUDESTE,17463349,2050778,10.018
RIO GRANDE DO NORTE,BR-RN,NORDESTE,3560903,341282,10.406
RIO GRANDE DO SUL,BR-RS,SUL,11466630,1813356,10.600
RONDONIA,BR-RO,NORTE,1815278,304550,13.552
RORAIMA,BR-RR,NORTE,652713,90673,13.989
SANTA CATARINA,BR-SC,SUL,7338473,1129045,10.692
SAO PAULO,BR-SP,SUDESTE,46649132,7279948,10.032
SERGIPE,BR-SE,NORDESTE,2338474,175102,10.434
TOCANTINS,BR-TO,NORTE,1607363,224228,13.973
